FOX,Fox  Cl B
GOOGL,Alphabet Cl A
ADP,Automatic Data Procs
PAYX,Paychex
GOOG,Alphabet Cl C
MNST,Monster Beverage Cp
ADSK,Autodesk
CDNS,Cadence Design Sys
LBTYA,Liberty Global Ord A
ILMN,Illumina
CTXS,Citrix Systems
ROST,Ross Stores
BIIB,Biogen
TTWO,Take-Two Interacti
KLAC,K L A-Tencor
ALXN,Alexion Pharm
CHKP,Check Point Software
BMRN,Biomarin Pharmaceuticals
CPRT,Copart
INCY,Incyte
REGN,Regeneron Pharmaceuticals
ULTA,Ulta Beauty
ORLY,O'Reilly Automotive
ASML,Asml Hld NY Reg
MELI,Mercadolibre
SNPS,Synopsys
BKNG,Booking Holdings
CDW,CDW
VRSN,Verisign
SGEN,Seattle Genetics
VRSK,Verisk Analytics
ISRG,Intuitive Surg
CTAS,Cintas
ALGN,Align Technology
IDXX,Idexx Laboratories
ANSS,Ansys
Downloaded from Barchart.com as of 12-10-2020 03:08am CST,
